Draw Date,Winning Numbers,Multiplier,double_play_winning_numbers
2/3/2010,17 22 36 37 52 24,2,
2/6/2010,14 22 52 54 59 04,3,
2/10/2010,05 08 29 37 38 34,5,
2/13/2010,10 14 30 40 51 01,4,
2/17/2010,07 08 19 26 36 15,3,
2/20/2010,13 27 37 41 54 32,2,
2/24/2010,04 17 35 50 57 12,2,
2/27/2010,18 47 51 53 58 30,2,
3/3/2010,07 09 14 45 49 23,4,
3/6/2010,10 29 33 41 59 15,2,
3/10/2010,17 21 37 41 50 01,2,
3/13/2010,06 16 20 31 36 08,5,
3/17/2010,24 26 45 48 55 08,2,
3/20/2010,09 36 39 44 45 09,2,
3/24/2010,14 20 24 39 49 07,3,
3/27/2010,07 21 32 44 52 10,4,
3/31/2010,05 13 17 45 54 12,5,
4/3/2010,10 15 31 52 59 04,4,
4/7/2010,04 36 40 44 52 33,2,
4/10/2010,21 22 49 52 58 34,2,
4/14/2010,06 14 32 38 52 20,3,
4/17/2010,05 21 22 41 49 15,5,
4/21/2010,11 34 41 49 55 20,2,
4/24/2010,01 12 53 56 57 05,2,
4/28/2010,12 22 25 28 44 24,4,
5/1/2010,16 23 25 49 58 20,4,
5/5/2010,13 34 40 47 57 11,4,
5/8/2010,05 22 34 41 57 31,5,
5/12/2010,37 51 52 53 58 38,2,
5/15/2010,15 21 23 28 36 20,2,
5/19/2010,02 07 29 55 58 27,3,
5/22/2010,19 20 40 47 57 29,2,
5/26/2010,01 06 10 13 20 32,4,
5/29/2010,01 03 24 28 41 10,4,
6/2/2010,04 09 14 39 43 38,4,
6/5/2010,18 34 40 48 59 25,4,
6/9/2010,14 22 27 32 49 05,4,
6/12/2010,09 12 13 35 38 30,10,
6/16/2010,08 11 18 29 36 06,5,
6/19/2010,09 30 31 50 54 39,3,
6/23/2010,11 30 45 47 48 10,3,
6/26/2010,13 30 32 38 57 25,4,
6/30/2010,06 38 43 47 48 27,5,
7/3/2010,03 10 14 52 53 03,3,
7/7/2010,10 41 44 48 56 04,2,
7/10/2010,20 21 27 28 56 04,4,
7/14/2010,20 21 23 38 42 06,3,
7/17/2010,22 27 35 37 45 03,4,
7/21/2010,16 22 30 51 58 25,3,
7/24/2010,20 30 38 46 59 27,2,
7/28/2010,01 11 20 25 27 02,5,
7/31/2010,01 16 17 41 57 15,3,
8/4/2010,19 28 30 37 53 36,4,
8/7/2010,04 22 26 31 52 30,5,
8/11/2010,07 10 22 23 52 29,2,
8/14/2010,09 33 36 50 58 31,2,
8/18/2010,04 32 33 47 55 39,3,
8/21/2010,07 10 12 22 27 26,2,
8/25/2010,16 17 29 31 36 23,3,
8/28/2010,04 22 27 32 56 13,4,
9/1/2010,17 20 21 40 51 19,3,
9/4/2010,11 14 22 33 42 38,2,
9/8/2010,10 35 39 51 57 20,5,
9/11/2010,07 17 20 36 59 33,4,
9/15/2010,07 20 21 34 43 34,5,
9/18/2010,01 18 37 39 44 13,4,
9/22/2010,10 24 36 52 55 15,5,
9/25/2010,08 16 27 35 42 30,2,
9/29/2010,13 44 51 52 55 30,4,
10/2/2010,12 20 30 36 47 25,4,
10/6/2010,14 26 37 41 46 24,5,
10/9/2010,02 06 32 42 49 35,3,
10/13/2010,12 22 32 34 46 02,4,
10/16/2010,11 12 15 16 28 11,2,
10/20/2010,07 17 20 39 59 17,3,
10/23/2010,02 07 16 20 46 34,4,
10/27/2010,20 24 25 53 59 15,5,
10/30/2010,01 07 27 36 49 39,5,
11/3/2010,34 38 39 45 50 33,2,
11/6/2010,07 12 23 34 38 33,4,
11/10/2010,05 08 11 40 44 10,4,
11/13/2010,17 30 48 51 54 29,5,
11/17/2010,14 16 53 54 59 05,3,
11/20/2010,10 12 38 53 57 01,5,
11/24/2010,08 20 21 32 37 04,3,
11/27/2010,10 30 37 47 54 39,5,
12/1/2010,05 10 11 12 20 02,3,
12/4/2010,13 24 27 31 42 22,5,
12/8/2010,08 11 25 41 58 16,4,
12/11/2010,01 08 10 19 20 23,2,
12/15/2010,10 11 18 32 45 18,5,
12/18/2010,04 11 19 33 43 14,4,
12/22/2010,11 33 44 46 47 12,2,
12/25/2010,01 17 38 50 52 24,2,
12/29/2010,03 16 18 20 37 30,2,
1/1/2011,18 22 37 47 54 36,2,
1/5/2011,22 26 32 38 40 07,5,
1/8/2011,06 07 26 33 52 24,2,
1/12/2011,19 21 23 40 48 27,4,
1/15/2011,09 13 22 23 37 31,3,
1/19/2011,22 36 51 56 59 32,3,
1/22/2011,30 31 34 45 51 23,2,
1/26/2011,04 05 36 47 58 06,3,
1/29/2011,24 28 45 49 52 02,4,
2/2/2011,03 14 33 53 57 36,4,
2/5/2011,15 37 41 56 59 05,5,
2/9/2011,07 11 39 42 51 30,4,
2/12/2011,11 32 36 48 52 19,4,
2/16/2011,09 13 21 23 48 24,2,
2/19/2011,03 12 34 37 42 36,5,
2/23/2011,29 32 36 39 49 29,3,
2/26/2011,04 13 17 21 45 10,5,
3/2/2011,07 31 50 51 58 06,2,
3/5/2011,02 23 31 42 48 21,2,
3/9/2011,12 20 28 40 48 08,2,
3/12/2011,01 04 12 41 47 03,4,
3/16/2011,28 39 40 48 53 09,3,
3/19/2011,03 11 20 27 46 08,2,
3/23/2011,05 15 26 28 32 09,2,
3/26/2011,04 10 11 19 33 27,4,
3/30/2011,19 20 42 56 58 37,4,
4/2/2011,06 22 34 43 45 23,2,
4/6/2011,10 18 41 55 56 15,2,
4/9/2011,05 14 32 53 56 11,4,
