Date,Belgium,Czechia,Germany,Spain,France,Luxembourg,Netherlands,Poland,Portugal
01/07/2020,1626,546,1544,1108,1539,2142,1680,583,741
01/01/2021,1626,579,1585,1108,1555,2202,1685,614,776
01/07/2021,1626,596,1602,1108,1555,2202,1701,619,776
01/01/2022,1658,652,1634,1126,1603,2257,1725,655,823
01/07/2022,1842,655,1739,1167,1646,2313,1756,642,823
01/01/2023,1955,717,1997,1167,1709,2387,1934,746,887
01/07/2023,1955,729,1997,1260,1747,2508,1995,811,887
01/01/2024,1994,764,2054,1323,1767,2571,2070,978,957
01/07/2024,2070,755,2054,1323,1767,2571,2134,998,957
01/01/2025,2070,826,2161,1381,1802,2638,2193,1091,1015
