Income_Deprivation_Decile,decile_num,estimated_population,total_crimes,total_crimes_per_10k,decile_label
1 (most deprived),1,833448,138047,1656.3360881542699,1 (most deprived)
2,2,833448,217678,2611.776619537152,2
3,3,831726,210000,2524.869969196586,3
4,4,833448,170593,2046.8343555926704,4
5,5,831726,120796,1452.3532990431945,5
6,6,833448,102435,1229.0508825985544,6
7,7,831726,59693,717.7003003392945,7
8,8,833448,42063,504.6865551300141,8
9,9,831726,42745,513.9312706348004,9
10 (least deprived),10,833448,58956,707.3746652460621,10 (least deprived)
