"Title","Link","Metascore","ReleaseDate","Description","Developer","Publisher","Platforms","Genre"
"The Legend of Zelda: Ocarina of Time","https://www.metacritic.com/game/the-legend-of-zelda-ocarina-of-time/","99",1998-11-23,"As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.","Nintendo","Nintendo","Nintendo 64","Open-World Action"
"SoulCalibur","https://www.metacritic.com/game/soulcalibur/","98",1999-09-08,"This is a tale of souls and swords, transcending the world and all its history, told for all eternity... The greatest weapons-based fighter returns, this time on Sega Dreamcast. Soul Calibur unleashes incredible graphics, fantastic fighters, and combos so amazing they'll make your head spin!","Namco","Namco","Dreamcast, iOS (iPhone/iPad), Xbox 360","3D Fighting"
"Grand Theft Auto IV","https://www.metacritic.com/game/grand-theft-auto-iv/","98",2008-04-29,"[Metacritic's 2008 Xbox 360 Game of the Year; Also known as ""GTA IV""]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't. [Rockstar Games]","Rockstar North","Rockstar Games","PlayStation 3, Xbox 360, PC","Open-World Action"
"Super Mario Galaxy","https://www.metacritic.com/game/super-mario-galaxy/","97",2007-11-12,"[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across the galaxy. Mario, Peach and enemies new and old are here. Players run, jump and battle enemies as they explore all the planets in the galaxy. Since this game makes full use of all the features of the Wii Remote, players have to do all kinds of things to succeed: pressing buttons, swinging the Wii Remote and the Nunchuk, and even pointing at and dragging things with the pointer. Since he's in space, Mario can perform mind-bending jumps unlike anything he's done before. He'll also have a wealth of new moves that are all based around tilting, pointing and shaking the Wii Remote. Shake, tilt and point! Mario takes advantage of all the unique aspects of the Wii Remote and Nunchuk controller, unleashing new moves as players shake the controller and even point at and drag items with the pointer. [Nintendo]","Nintendo","Nintendo","Wii","3D Platformer"
"Super Mario Galaxy 2","https://www.metacritic.com/game/super-mario-galaxy-2/","97",2010-05-23,"Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back at enemies. Players can also have fun with new items such as a drill that lets our hero tunnel through solid rock. [Nintendo]","Nintendo EAD Tokyo","Nintendo","Wii","3D Platformer"
"The Legend of Zelda: Breath of the Wild","https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild/","97",2017-03-03,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure. Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier. [Nintendo]","Nintendo","Nintendo","Wii U, Nintendo Switch","Open-World Action"
"Perfect Dark (2000)","https://www.metacritic.com/game/perfect-dark-2000/","97",2000-05-22,"Step into the Dark... As Carrington Institute's most promising new Agent, Joanna Dark must uncover the truth behind the dataDyne Corporation's recent technological breakthroughs - breakthroughs which could have serious consequences for mankind.","Rare Ltd.","Rare Ltd.","Nintendo 64, Xbox 360","FPS"
"Tony Hawk's Pro Skater 3","https://www.metacritic.com/game/tony-hawks-pro-skater-3/","97",2001-10-30,"Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes. [Activision]","Neversoft Entertainment","Activision","Xbox, PlayStation 2, GameCube, PlayStation, PC, Game Boy Advance, Nintendo 64","Skating"
"Red Dead Redemption 2","https://www.metacritic.com/game/red-dead-redemption-2/","97",2018-10-26,"Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar]","Rockstar Games","Rockstar Games","PlayStation 4, Xbox One, PC","Open-World Action"
"Grand Theft Auto V","https://www.metacritic.com/game/grand-theft-auto-v/","97",2014-11-18,"The sprawling sun-soaked metropolis of Los Santos is chock full of self-help coaches, starlets and C-List celebrities, once on top of the media world, now struggling to stay relevant in time of economic malaise and lowest-common-denominator reality TV. Amidst this madness, three unique criminals plan their own chances of survival and success: Franklin, a street-level hustler in search of opportunities for serious money; Michael, an ex-con whose ""retirement"" is a less rosy than he hoped it would be; and Trevor, a violent dude driven by the chance for a quick high and the next big score. Nearly out of options, the crew risks it all in a series of daring and dangerous heists that could set them up for life - one way or the other.","Rockstar North","Rockstar Games","PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X","Open-World Action"
