State Name,1st Place,2nd Place,3rd Place
Alabama,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Alaska,Registered Nurse,Retail Sales Associate,Physician
Arizona,Registered Nurse,Retail Sales Associate,Physician
Arkansas,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
California,Registered Nurse,Retail Sales Associate,Sales Representative
Colorado,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Connecticut,Registered Nurse,Retail Sales Associate,Physician
Delaware,Registered Nurse,Software Developer / Engineer,Retail Sales Associate
Florida,Registered Nurse,Retail Sales Associate,Physician
Georgia,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Hawaii,Registered Nurse,Retail Sales Associate,Customer Service Representative
Idaho,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Illinois,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Indiana,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Iowa,Registered Nurse,Tractor-Trailer Truck Driver,Physician
Kansas,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Kentucky,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Louisiana,Registered Nurse,Retail Sales Associate,Retail Store Manager / Supervisor
Maine,Registered Nurse,Physician,Retail Sales Associate
Maryland,Registered Nurse,Retail Sales Associate,Software Developer / Engineer
Massachusetts,Registered Nurse,Retail Sales Associate,Software Developer / Engineer
Michigan,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Minnesota,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Mississippi,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Missouri,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Montana,Registered Nurse,Physician,Retail Sales Associate
Nebraska,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Nevada,Registered Nurse,Retail Sales Associate,Sales Representative
New Hampshire,Registered Nurse,Retail Sales Associate,Physician
New Jersey,Registered Nurse,Retail Sales Associate,Software Developer / Engineer
New Mexico,Registered Nurse,Physician,Retail Sales Associate
New York,Registered Nurse,Retail Sales Associate,Physician
North Carolina,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
North Dakota,Registered Nurse,Physician,Tractor-Trailer Truck Driver
Ohio,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Oklahoma,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Oregon,Registered Nurse,Retail Sales Associate,Physician
Pennsylvania,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Rhode Island,Registered Nurse,Retail Sales Associate,Software Developer / Engineer
South Carolina,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
South Dakota,Registered Nurse,Physician,Licensed Practical / Vocational Nurse
Tennessee,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Texas,Registered Nurse,Retail Sales Associate,Sales Representative
Utah,Retail Sales Associate,Registered Nurse,Sales Representative
Vermont,Registered Nurse,Retail Sales Associate,Tractor-Trailer Truck Driver
Virginia,Registered Nurse,Software Developer / Engineer,Retail Sales Associate
Washington,Registered Nurse,Retail Sales Associate,Physician
West Virginia,Registered Nurse,Physician,Tractor-Trailer Truck Driver
Wisconsin,Registered Nurse,Tractor-Trailer Truck Driver,Retail Sales Associate
Wyoming,Registered Nurse,Tractor-Trailer Truck Driver,Physician
