Date,High (kg),Low (kg),Close (kg)
2026-01-07 0:00,179874.43,141589.72,152284.58
2025-12-08 0:00,146277.46,134093.76,144461.74
2025-11-08 0:00,137102.36,128547.85,135080
2025-10-09 0:00,140854.19,124968.25,128612.63
2025-09-09 0:00,130502.85,116212.39,129012.99
2025-08-10 0:00,117227.97,106471.54,116870.29
2025-07-11 0:00,110566.42,105081.58,109272.35
2025-06-11 0:00,110956.49,104455.52,106868.28
2025-05-12 0:00,109417.27,100364.74,106992.94
2025-04-12 0:00,112502.7,102690.37,105690.44
2025-03-13 0:00,104333.35,94300.15,104091.41
2025-02-11 0:00,95042.27,91077.28,94465.48
2025-01-12 0:00,93928.17,85421.72,93812.74
2024-12-13 0:00,86733.07,83068.04,86489.61
2024-11-13 0:00,87638.92,81578.5,86186.67
2024-10-14 0:00,89702.83,83273.49,83559.47
2024-09-14 0:00,86336.25,81902.34,85147.72
2024-08-15 0:00,83141.59,78210.87,82902.79
2024-07-16 0:00,79848.31,75664.21,78754.7
2024-06-16 0:00,78417.76,73754.29,77887.43
2024-05-17 0:00,78769.01,73524.82,75001.74
2024-04-17 0:00,77715.35,73232.01,76452.87
2024-03-18 0:00,78167.63,69001.53,76600.2
2024-02-17 0:00,70572.42,64662.22,69338.71
2024-01-18 0:00,66402.79,63806.13,64732.31
2023-12-19 0:00,67144.82,64366.76,64614.72
2023-11-19 0:00,68908.78,63199.69,65192.23
2023-10-20 0:00,64602.99,61987.52,63686.13
2023-09-20 0:00,63699.47,58219.94,63568.78
2023-08-21 0:00,62784.86,60600.7,62098.93
2023-07-22 0:00,63726.8,60608.98,60760.41
2023-06-22 0:00,63898.97,60862.81,63073.33
2023-05-23 0:00,63827.27,61721.48,62177.45
2023-04-23 0:00,66818.17,62759.95,63333.03
2023-03-24 0:00,65854.05,62506.03,63760.8
2023-02-22 0:00,64600.41,58041.42,64025.4
2023-01-23 0:00,63004.13,58483.25,59017.6
2022-12-24 0:00,62287.33,57784.3,61965.9
2022-11-24 0:00,58657.51,55935.31,57808.89
2022-10-25 0:00,57434.82,51980.12,56339.92
2022-09-25 0:00,55599.33,51921.04,53107.09
2022-08-26 0:00,56548.1,52737.03,52861.29
2022-07-27 0:00,58122.68,55031.55,56471.98
2022-06-27 0:00,59185.18,54052.24,55237.15
2022-05-28 0:00,60416.08,58037.4,58876.7
2022-04-28 0:00,61724.45,57470.5,59604.59
2022-03-29 0:00,64246.68,60492.03,60627.15
2022-02-27 0:00,66545.86,60745.62,61864.79
2022-01-28 0:00,63464.13,57241.27,60745.62
2021-12-29 0:00,59602.66,57322.69,57782.69
2021-11-29 0:00,58520.87,56395.46,58087.08
2021-10-30 0:00,60349.2,56578.24,57725.38
2021-09-30 0:00,58314.38,55374.36,57338.61
2021-08-31 0:00,58962.06,55359.57,55585.43
2021-08-01 0:00,58891.65,54265.64,58209.73
2021-07-02 0:00,58954.82,57046.68,58329.65
2021-06-02 0:00,61395.71,56301.74,57090.24
2021-05-03 0:00,61621.09,56826.93,61052.18
2021-04-03 0:00,57802.7,55341.88,56879.65
2021-03-04 0:00,56441.76,53915.03,55785.89
2021-02-02 0:00,59933.17,54732.63,54995.3
2021-01-03 0:00,62984.28,58211.82,59720.17
2020-12-04 0:00,61300.7,58513.23,61034.98
2020-11-04 0:00,63193.74,56746.87,59153.52
2020-10-05 0:00,62163.47,59804.57,61548.42
