date,series_id,value,realtime_start,realtime_end
2003-01-01,DFII10,2.29,2026-02-02,2026-02-02
2003-02-01,DFII10,1.99,2026-02-02,2026-02-02
2003-03-01,DFII10,1.94,2026-02-02,2026-02-02
2003-04-01,DFII10,2.18,2026-02-02,2026-02-02
2003-05-01,DFII10,1.91,2026-02-02,2026-02-02
2003-06-01,DFII10,1.72,2026-02-02,2026-02-02
2003-07-01,DFII10,2.11,2026-02-02,2026-02-02
2003-08-01,DFII10,2.32,2026-02-02,2026-02-02
2003-09-01,DFII10,2.19,2026-02-02,2026-02-02
2003-10-01,DFII10,2.08,2026-02-02,2026-02-02
2003-11-01,DFII10,1.96,2026-02-02,2026-02-02
2003-12-01,DFII10,1.98,2026-02-02,2026-02-02
2004-01-01,DFII10,1.89,2026-02-02,2026-02-02
2004-02-01,DFII10,1.76,2026-02-02,2026-02-02
2004-03-01,DFII10,1.47,2026-02-02,2026-02-02
2004-04-01,DFII10,1.9,2026-02-02,2026-02-02
2004-05-01,DFII10,2.09,2026-02-02,2026-02-02
2004-06-01,DFII10,2.15,2026-02-02,2026-02-02
2004-07-01,DFII10,2.02,2026-02-02,2026-02-02
2004-08-01,DFII10,1.86,2026-02-02,2026-02-02
2004-09-01,DFII10,1.8,2026-02-02,2026-02-02
2004-10-01,DFII10,1.73,2026-02-02,2026-02-02
2004-11-01,DFII10,1.68,2026-02-02,2026-02-02
2004-12-01,DFII10,1.67,2026-02-02,2026-02-02
2005-01-01,DFII10,1.72,2026-02-02,2026-02-02
2005-02-01,DFII10,1.63,2026-02-02,2026-02-02
2005-03-01,DFII10,1.79,2026-02-02,2026-02-02
2005-04-01,DFII10,1.71,2026-02-02,2026-02-02
2005-05-01,DFII10,1.65,2026-02-02,2026-02-02
2005-06-01,DFII10,1.67,2026-02-02,2026-02-02
2005-07-01,DFII10,1.88,2026-02-02,2026-02-02
2005-08-01,DFII10,1.89,2026-02-02,2026-02-02
2005-09-01,DFII10,1.7,2026-02-02,2026-02-02
2005-10-01,DFII10,1.94,2026-02-02,2026-02-02
2005-11-01,DFII10,2.06,2026-02-02,2026-02-02
2005-12-01,DFII10,2.12,2026-02-02,2026-02-02
2006-01-01,DFII10,2.01,2026-02-02,2026-02-02
2006-02-01,DFII10,2.05,2026-02-02,2026-02-02
2006-03-01,DFII10,2.2,2026-02-02,2026-02-02
2006-04-01,DFII10,2.41,2026-02-02,2026-02-02
2006-05-01,DFII10,2.45,2026-02-02,2026-02-02
