State,State FIPS,County FIPS,County,Female Population 2020,Male Population 2020,Net Female Migrants,Net Male Migrants
Alabama,01,01000,State Total,2577056,2447299.98,112270,58625
Alabama,01,01001,Autauga County,30041,28761,1755,1191
Alabama,01,01003,Baldwin County,118373.01,113388,25020,22933
Alabama,01,01005,Barbour County,11899,13325,-841,-1428
Alabama,01,01007,Bibb County,10412,11888,-185,-558
Alabama,01,01009,Blount County,29679,29451,819,632
Alabama,01,01011,Bullock County,4652,5710,-382,-394
Alabama,01,01013,Butler County,10083,8972,-745,-860
Alabama,01,01015,Calhoun County,59868,56576,-101,-942
Alabama,01,01017,Chambers County,18058,16716,845,349
Alabama,01,01019,Cherokee County,12469,12510,55,149
Alabama,01,01021,Chilton County,22759,22250,665,105
Alabama,01,01023,Choctaw County,6622,6041,-302,-520
Alabama,01,01025,Clarke County,12098,10989,-1219,-1276
Alabama,01,01027,Clay County,7228,7009,418,322
Alabama,01,01029,Cleburne County,7594,7463,194,91
Alabama,01,01031,Coffee County,26826,26634,1389,982
Alabama,01,01033,Colbert County,29600,27632,2143,1821
Alabama,01,01035,Conecuh County,6007,5590,-562,-691
Alabama,01,01037,Coosa County,5115,5267,-378,-473
Alabama,01,01039,Covington County,19320,18247,541,224
Alabama,01,01041,Crenshaw County,6723,6474,-191,-196
Alabama,01,01043,Cullman County,44052,43805,3888,4005
Alabama,01,01045,Dale County,24989,24330,-866,-1730
Alabama,01,01047,Dallas County,20531,17932,-2667,-2681
Alabama,01,01049,DeKalb County,35702,35909,-108,150
Alabama,01,01051,Elmore County,45027,42947,3927,3005
Alabama,01,01053,Escambia County,18408,18359,173,-1541
Alabama,01,01055,Etowah County,53068,50373,1040,136
Alabama,01,01057,Fayette County,8289,8037,-24,-264
Alabama,01,01059,Franklin County,15946,16167,71,-50
Alabama,01,01061,Geneva County,13551,13109,327,252
Alabama,01,01063,Greene County,4099,3635,-552,-679
Alabama,01,01065,Hale County,7759,7027,-442,-648
Alabama,01,01067,Henry County,8825,8323,208,121
Alabama,01,01069,Houston County,55575,51629,2491,958
Alabama,01,01071,Jackson County,26546,26036,390,539
Alabama,01,01073,Jefferson County,353274,321081,4487,-5701
Alabama,01,01075,Lamar County,7058,6918,-35,-49
Alabama,01,01077,Lauderdale County,48359,45206,1753,1258
Alabama,01,01079,Lawrence County,16808,16269,-405,-367
Alabama,01,01081,Lee County,87871,86372.98,13786,12595
Alabama,01,01083,Limestone County,51393,52170,9699,8628
Alabama,01,01085,Lowndes County,5428,4882,-504,-485
Alabama,01,01087,Macon County,10609,8925,-665,-802
Alabama,01,01089,Madison County,196997.98,191162,22861,18739
Alabama,01,01091,Marengo County,10171,9153,-679,-736
Alabama,01,01093,Marion County,14720,14621,10,-278
Alabama,01,01095,Marshall County,49121,48490,1310,1072
Alabama,01,01097,Mobile County,215782,199030,-2612,-8307
Alabama,01,01099,Monroe County,10290,9480,-1279,-1596
Alabama,01,01101,Montgomery County,120690,108258,-2765,-8948
Alabama,01,01103,Morgan County,62114,61306.99,1570,1165
Alabama,01,01105,Perry County,4539,3976,-918,-960
Alabama,01,01107,Pickens County,9475,9649,-469,193
Alabama,01,01109,Pike County,17100,15908,-134,-270
Alabama,01,01111,Randolph County,11211,10759,-219,-205
Alabama,01,01113,Russell County,30771,28416,2026,1173
Alabama,01,01115,St. Clair County,45896,45575,4000,2952
Alabama,01,01117,Shelby County,114131,108903,10656,7541
Alabama,01,01119,Sumter County,6652,5696,-653,-603
Alabama,01,01121,Talladega County,42293,39859,1152,-157
Alabama,01,01123,Tallapoosa County,21092,20224,374,270
Alabama,01,01125,Tuscaloosa County,116917,110124,14207,10617
Alabama,01,01127,Walker County,33257,32085,406,311
Alabama,01,01129,Washington County,7820,7568,-892,-940
Alabama,01,01131,Wilcox County,5573,5028,-449,-520
Alabama,01,01133,Winston County,11850,11694,-143,-1
Alaska,02,02000,State Total,347080,386298,-23760,-18151
Alaska,02,02013,Aleutians East Borough,1026,2393,-39,232
Alaska,02,02016,Aleutians West Census Area,1572,3660,-337,-196
Alaska,02,02020,Anchorage Municipality,141594,149650,-14218,-13789
Alaska,02,02050,Bethel Census Area,8873,9797,-700,-697
Alaska,02,02060,Bristol Bay Borough,407,436,-56,-107
Alaska,02,02068,Denali Borough,746,878,-147,-171
Alaska,02,02070,Dillingham Census Area,2348,2505,-242,-297
Alaska,02,02090,Fairbanks North Star Borough,43985,51672,-7554,-6009
Alaska,02,02100,Haines Borough,1004,1076,-247,-188
Alaska,02,02110,Juneau City and Borough,15689,16566,-456,-290
Alaska,02,02122,Kenai Peninsula Borough,27847,30942,240,538
Alaska,02,02130,Ketchikan Gateway Borough,6750,7207,-106,-19
Alaska,02,02150,Kodiak Island Borough,6056,7045,-956,-885
