date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2000,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091,8317.7248,1.941076699,0.36397,,-0.07809,0.09763,0.96247
4/1/2000,AUS,AUD,Australia,2.59,1.68,1.541666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939,28023.744,2.287635319,-0.28631,,-0.51761,-0.42567,0.02686
4/1/2000,BRA,BRL,Brazil,2.95,1.79,1.648044693,-0.26427,-0.30778,-0.45102,-0.40581,0.37836,4511.789017,1.874143858,-0.06873,,-0.37055,-0.25058,0.3399
4/1/2000,CAN,CAD,Canada,2.85,1.47,1.93877551,-0.13448,-0.18566,-0.35417,-0.30099,0.62152,24539.92859,2.226367427,-0.07777,,-0.37666,-0.25785,0.32689
4/1/2000,CHE,CHF,Switzerland,5.9,1.7,3.470588235,0.54937,0.45774,0.15609,0.2513,1.90267,23524.31257,2.208506362,0.66423,,0.12486,0.33926,1.39447
4/1/2000,CHL,CLP,Chile,1260,514,2.451361868,0.09436,0.02964,-0.18342,-0.11618,1.05023,4480.57875,1.87359498,0.38561,,-0.06346,0.11504,0.9936
4/1/2000,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.49779,-0.60171,-0.56891,0,1537.739184,1.821840925,-0.30497,,-0.53023,-0.44069,0
4/1/2000,CZE,CZK,Czech Republic,54.37,39.1,1.390537084,-0.37922,-0.41594,-0.5368,-0.49865,0.16299,8676.102639,1.947379287,-0.24379,,-0.48888,-0.39146,0.08802
4/1/2000,DNK,DKK,Denmark,24.75,8.04,3.078358209,0.37427,0.29299,0.02544,0.10988,1.57463,20258.93315,2.15107998,0.51555,,0.02437,0.21961,1.18056
4/1/2000,EUZ,EUR,Euro area,2.56,1.075268817,2.3808,0.06286,0,-0.20693,-0.14162,0.99121,,,,,,,
4/1/2000,GBR,GBP,Britain,1.9,0.632911392,3.002000002,0.34018,0.26092,0,0.08235,1.51076,20131.33979,2.148836068,0.4795,,0,0.1906,1.12869
4/1/2000,HKG,HKD,Hong Kong,10.2,7.79,1.309370988,-0.41546,-0.45003,-0.56383,-0.52791,0.09511,43634.49133,2.562172708,-0.45879,,-0.6342,-0.56447,-0.22132
4/1/2000,HUN,HUF,Hungary,339,279,1.215053763,-0.45757,-0.48964,-0.59525,-0.56192,0.01623,6712.32469,1.912843435,-0.3273,,-0.54532,-0.45865,-0.03212
4/1/2000,IDN,IDR,Indonesia,14500,7945,1.825047199,-0.18525,-0.23343,-0.39206,-0.34199,0.5264,884.9847773,1.810361302,0.06762,,-0.27839,-0.14085,0.53608
4/1/2000,ISR,ILS,Israel,14.5,4.05,3.580246914,0.59832,0.5038,0.19262,0.29084,1.99439,11862.91317,2.003423923,0.89255,,0.27918,0.523,1.72299
4/1/2000,JPN,JPY,Japan,294,106,2.773584906,0.23821,0.16498,-0.07609,0,1.31973,32351.7402,2.363749342,0.24265,,-0.16009,0,0.78791
4/1/2000,KOR,KRW,South Korea,3000,1108,2.707581227,0.20874,0.13726,-0.09807,-0.0238,1.26452,8979.034486,1.952706779,0.46843,,-0.00749,0.18169,1.11276
