spend_rank,team,conference,est_low_musd,est_high_musd,est_mid_musd,range_width_musd,budget_label,ap_rank
1,Ohio State,Big Ten,49,54,51.5,5,$49-54M,6
2,Oregon,Big Ten,48,54,51,6,$48-54M,21
3,Texas,SEC,45,55,50,10,$45-55M,1
4,LSU,SEC,47,50,48.5,3,$47-50M,7
5,Texas A&M,SEC,45,50,47.5,5,$45-50M,9
6,Miami,ACC,44,50,47,6,$44-50M,5
7,Notre Dame,Independent,41,48,44.5,7,$41-48M,3
8,Ole Miss,SEC,39,45,42,6,$39-45M,8
9,Tennessee,SEC,41,43,42,2,$41-43M,15
10,Alabama,SEC,38,42,40,4,$38-42M,10
11,Texas Tech,Big 12,38,42,40,4,$38-42M,13
12,USC,Big Ten,37,40,38.5,3,$37-40M,12
13,Indiana,Big Ten,36,40,38,4,$36-40M,4
14,Michigan,Big Ten,36,40,38,4,$36-40M,19
15,Florida,SEC,31,41,36,10,$31-41M,
16,South Carolina,SEC,32,35,33.5,3,$32-35M,
17,Auburn,SEC,31,35,33,4,$31-35M,
18,Nebraska,Big Ten,31,35,33,4,$31-35M,
19,Georgia,SEC,31,34,32.5,3,$31-34M,2
20,Oklahoma,SEC,28,34,31,6,$28-34M,24
21,Clemson,ACC,29,32,30.5,3,$29-32M,
22,Penn State,Big Ten,29,32,30.5,3,$29-32M,14
23,Wisconsin,Big Ten,27,31,29,4,$27-31M,
24,Missouri,SEC,27,30,28.5,3,$27-30M,20
25,UCLA,Big Ten,26,30,28,4,$26-30M,
26,Mississippi State,SEC,25,30,27.5,5,$25-30M,
27,Virginia Tech,ACC,25,30,27.5,5,$25-30M,
28,Florida State,ACC,23,30,26.5,7,$23-30M,
29,Vanderbilt,SEC,25,28,26.5,3,$25-28M,
30,Georgia Tech,ACC,23,26,24.5,3,$23-26M,
31,Kentucky,SEC,23,26,24.5,3,$23-26M,
32,NC State,ACC,22,26,24,4,$22-26M,
33,Arkansas,SEC,22,25,23.5,3,$22-25M,
34,Louisville,ACC,22,25,23.5,3,$22-25M,23
35,TCU,Big 12,22,25,23.5,3,$22-25M,
36,Maryland,Big Ten,21,25,23,4,$21-25M,
37,Michigan State,Big Ten,21,25,23,4,$21-25M,
38,Northwestern,Big Ten,21,25,23,4,$21-25M,
39,Washington,Big Ten,21,25,23,4,$21-25M,
40,BYU,Big 12,20,25,22.5,5,$20-25M,11
41,North Carolina,ACC,20,25,22.5,5,$20-25M,
42,California,ACC,20,24,22,4,$20-24M,
43,SMU,ACC,21,23,22,2,$21-23M,16
44,Virginia,ACC,20,24,22,4,$20-24M,25
45,Baylor,Big 12,20,23,21.5,3,$20-23M,
46,Rutgers,Big Ten,20,23,21.5,3,$20-23M,
47,Arizona State,Big 12,19,23,21,4,$19-23M,
48,Illinois,Big Ten,19,23,21,4,$19-23M,
49,Kansas State,Big 12,19,22,20.5,3,$19-22M,
50,Minnesota,Big Ten,18,22,20,4,$18-22M,
51,Utah,Big 12,18,22,20,4,$18-22M,17
52,West Virginia,Big 12,18,22,20,4,$18-22M,
53,Colorado,Big 12,18,21,19.5,3,$18-21M,
54,Syracuse,ACC,17,22,19.5,5,$17-22M,
55,Iowa,Big Ten,17,21,19,4,$17-21M,18
56,Pitt,ACC,16,20,18,4,$16-20M,
57,Purdue,Big Ten,16,20,18,4,$16-20M,
58,Stanford,ACC,16,20,18,4,$16-20M,
59,Wake Forest,ACC,16,20,18,4,$16-20M,
60,UCF,Big 12,15,20,17.5,5,$15-20M,
61,Houston,Big 12,15,19,17,4,$15-19M,22
62,Oklahoma State,Big 12,15,19,17,4,$15-19M,
63,Kansas,Big 12,15,17,16,2,$15-17M,
64,Arizona,Big 12,13,18,15.5,5,$13-18M,
65,Cincinnati,Big 12,14,16,15,2,$14-16M,
66,Iowa State,Big 12,13,17,15,4,$13-17M,
67,Duke,ACC,12,15,13.5,3,$12-15M,
68,Boston College,ACC,8,13,10.5,5,$8-13M,
