Generation,Birth Years,Metric,Percent,Respondents,Is Overall,Survey Field Start,Survey Field End,Source
Overall,All respondents,Treats sports betting as a deliberate part of long-term financial strategy,12,1000,Yes,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Overall,All respondents,Redirected investing funds to sports betting at least once in the past year,24,1000,Yes,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Gen Z,1997-2007,Treats sports betting as a deliberate part of long-term financial strategy,26,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Gen Z,1997-2007,Redirected investing funds to sports betting at least once in the past year,52,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Millennials,1981-1996,Treats sports betting as a deliberate part of long-term financial strategy,14,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Millennials,1981-1996,Redirected investing funds to sports betting at least once in the past year,31,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Gen X,1965-1980,Treats sports betting as a deliberate part of long-term financial strategy,6,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Gen X,1965-1980,Redirected investing funds to sports betting at least once in the past year,10,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Boomers,Before 1965,Treats sports betting as a deliberate part of long-term financial strategy,1,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
Boomers,Before 1965,Redirected investing funds to sports betting at least once in the past year,4,250,No,2026-03-27,2026-04-03,Betterment 2026 Retail Investor Survey
