year,period,value_type,mean_temp_c,baseline_1961_1990,baseline_1991_2020
1884,January,Monthly,5,3.02,3.92
1884,February,Monthly,4.2,2.96,4.13
1884,March,Monthly,5.1,4.67,5.7
1884,April,Monthly,6.2,6.73,7.87
1884,May,Monthly,9.7,9.75,10.64
1884,June,Monthly,12.5,12.66,13.33
1884,July,Monthly,14.5,14.4,15.29
1884,August,Monthly,15.3,14.24,15.11
1884,September,Monthly,13,12.2,12.93
1884,October,Monthly,8.3,9.43,9.73
1884,November,Monthly,4.6,5.51,6.48
1884,December,Monthly,3.3,3.83,4.2
1884,Spring,Seasonal,6.98,7.05,8.07
1884,Summer,Seasonal,14.11,13.78,14.59
1884,Autumn,Seasonal,8.62,9.05,9.71
1884,Annual,Annual,8.48,8.31,9.14
1885,January,Monthly,2,3.02,3.92
1885,February,Monthly,4.2,2.96,4.13
1885,March,Monthly,3.5,4.67,5.7
1885,April,Monthly,6.6,6.73,7.87
1885,May,Monthly,7.6,9.75,10.64
1885,June,Monthly,12.3,12.66,13.33
1885,July,Monthly,14.5,14.4,15.29
1885,August,Monthly,12.4,14.24,15.11
1885,September,Monthly,10.9,12.2,12.93
1885,October,Monthly,6.2,9.43,9.73
1885,November,Monthly,4.8,5.51,6.48
1885,December,Monthly,3,3.83,4.2
1885,Winter,Seasonal,3.14,3.27,4.08
1885,Spring,Seasonal,5.92,7.05,8.07
1885,Summer,Seasonal,13.09,13.78,14.59
1885,Autumn,Seasonal,7.28,9.05,9.71
1885,Annual,Annual,7.36,8.31,9.14
1886,January,Monthly,1.1,3.02,3.92
1886,February,Monthly,0.8,2.96,4.13
1886,March,Monthly,2.9,4.67,5.7
1886,April,Monthly,6.3,6.73,7.87
1886,May,Monthly,8.8,9.75,10.64
1886,June,Monthly,11.9,12.66,13.33
1886,July,Monthly,14.2,14.4,15.29
1886,August,Monthly,14.1,14.24,15.11
1886,September,Monthly,12,12.2,12.93
1886,October,Monthly,9.9,9.43,9.73
1886,November,Monthly,5.7,5.51,6.48
1886,December,Monthly,1.2,3.83,4.2
1886,Winter,Seasonal,1.68,3.27,4.08
1886,Spring,Seasonal,6.01,7.05,8.07
1886,Summer,Seasonal,13.42,13.78,14.59
1886,Autumn,Seasonal,9.2,9.05,9.71
1886,Annual,Annual,7.45,8.31,9.14
1887,January,Monthly,2.1,3.02,3.92
1887,February,Monthly,3.5,2.96,4.13
1887,March,Monthly,3.3,4.67,5.7
1887,April,Monthly,5.4,6.73,7.87
1887,May,Monthly,8.7,9.75,10.64
1887,June,Monthly,14.3,12.66,13.33
1887,July,Monthly,15.6,14.4,15.29
1887,August,Monthly,14,14.24,15.11
1887,September,Monthly,10.6,12.2,12.93
1887,October,Monthly,6.4,9.43,9.73
1887,November,Monthly,3.9,5.51,6.48
1887,December,Monthly,2.1,3.83,4.2
1887,Winter,Seasonal,2.23,3.27,4.08
1887,Spring,Seasonal,5.8,7.05,8.07
1887,Summer,Seasonal,14.62,13.78,14.59
1887,Autumn,Seasonal,6.97,9.05,9.71
1887,Annual,Annual,7.51,8.31,9.14
1888,January,Monthly,2.8,3.02,3.92
1888,February,Monthly,1.1,2.96,4.13
1888,March,Monthly,2.1,4.67,5.7
1888,April,Monthly,5.3,6.73,7.87
1888,May,Monthly,9.2,9.75,10.64
1888,June,Monthly,11.8,12.66,13.33
1888,July,Monthly,12.3,14.4,15.29
1888,August,Monthly,12.8,14.24,15.11
1888,September,Monthly,11.2,12.2,12.93
1888,October,Monthly,7.6,9.43,9.73
1888,November,Monthly,6.5,5.51,6.48
1888,December,Monthly,4.3,3.83,4.2
1888,Winter,Seasonal,2.03,3.27,4.08
1888,Spring,Seasonal,5.56,7.05,8.07
1888,Summer,Seasonal,12.31,13.78,14.59
1888,Autumn,Seasonal,8.43,9.05,9.71
1888,Annual,Annual,7.28,8.31,9.14
1889,January,Monthly,3,3.02,3.92
1889,February,Monthly,2.2,2.96,4.13
1889,March,Monthly,3.8,4.67,5.7
1889,April,Monthly,6,6.73,7.87
1889,May,Monthly,11.4,9.75,10.64
1889,June,Monthly,14,12.66,13.33
1889,July,Monthly,13.6,14.4,15.29
1889,August,Monthly,13.4,14.24,15.11
1889,September,Monthly,11.5,12.2,12.93
1889,October,Monthly,7.6,9.43,9.73
1889,November,Monthly,6.1,5.51,6.48
1889,December,Monthly,3.1,3.83,4.2
1889,Winter,Seasonal,3.21,3.27,4.08
1889,Spring,Seasonal,7.1,7.05,8.07
1889,Summer,Seasonal,13.66,13.78,14.59
1889,Autumn,Seasonal,8.41,9.05,9.71
1889,Annual,Annual,8.01,8.31,9.14
1890,January,Monthly,4.8,3.02,3.92
1890,February,Monthly,2.7,2.96,4.13
1890,March,Monthly,5,4.67,5.7
1890,April,Monthly,6.2,6.73,7.87
1890,May,Monthly,10.5,9.75,10.64
1890,June,Monthly,12.4,12.66,13.33
1890,July,Monthly,13,14.4,15.29
1890,August,Monthly,13.1,14.24,15.11
1890,September,Monthly,13.6,12.2,12.93
1890,October,Monthly,8.9,9.43,9.73
1890,November,Monthly,5,5.51,6.48
1890,December,Monthly,-0.1,3.83,4.2
1890,Winter,Seasonal,3.54,3.27,4.08
1890,Spring,Seasonal,7.28,7.05,8.07
1890,Summer,Seasonal,12.82,13.78,14.59
1890,Autumn,Seasonal,9.17,9.05,9.71
1890,Annual,Annual,7.96,8.31,9.14
1891,January,Monthly,1.3,3.02,3.92
1891,February,Monthly,4.4,2.96,4.13
1891,March,Monthly,2.9,4.67,5.7
1891,April,Monthly,5.1,6.73,7.87
1891,May,Monthly,8.2,9.75,10.64
1891,June,Monthly,13.2,12.66,13.33
1891,July,Monthly,13.7,14.4,15.29
1891,August,Monthly,13,14.24,15.11
1891,September,Monthly,12.8,12.2,12.93
1891,October,Monthly,8.4,9.43,9.73
1891,November,Monthly,4.6,5.51,6.48
1891,December,Monthly,3.5,3.83,4.2
1891,Winter,Seasonal,1.76,3.27,4.08
1891,Spring,Seasonal,5.42,7.05,8.07
1891,Summer,Seasonal,13.31,13.78,14.59
1891,Autumn,Seasonal,8.59,9.05,9.71
1891,Annual,Annual,7.6,8.31,9.14
1892,January,Monthly,1.5,3.02,3.92
1892,February,Monthly,2.5,2.96,4.13
1892,March,Monthly,1.9,4.67,5.7
1892,April,Monthly,6.2,6.73,7.87
1892,May,Monthly,9.9,9.75,10.64
1892,June,Monthly,11.7,12.66,13.33
1892,July,Monthly,12.8,14.4,15.29
1892,August,Monthly,13.6,14.24,15.11
1892,September,Monthly,10.7,12.2,12.93
1892,October,Monthly,6,9.43,9.73
1892,November,Monthly,5.8,5.51,6.48
1892,December,Monthly,1.4,3.83,4.2
1892,Winter,Seasonal,2.5,3.27,4.08
1892,Spring,Seasonal,5.99,7.05,8.07
1892,Summer,Seasonal,12.73,13.78,14.59
1892,Autumn,Seasonal,7.49,9.05,9.71
1892,Annual,Annual,7.01,8.31,9.14
1893,January,Monthly,1.6,3.02,3.92
1893,February,Monthly,3.6,2.96,4.13
1893,March,Monthly,6.2,4.67,5.7
1893,April,Monthly,8.9,6.73,7.87
