Entity,Code,Year,Oil
Iraq,IRQ,1900,0
Iraq,IRQ,1901,0
Iraq,IRQ,1902,0
Iraq,IRQ,1903,0
Iraq,IRQ,1904,0
Iraq,IRQ,1905,0
Iraq,IRQ,1906,0
Iraq,IRQ,1907,0
Iraq,IRQ,1908,0
Iraq,IRQ,1909,0
Iraq,IRQ,1910,0
Iraq,IRQ,1911,0
Iraq,IRQ,1912,0
Iraq,IRQ,1913,0
Iraq,IRQ,1914,0
Iraq,IRQ,1915,0
Iraq,IRQ,1916,0
Iraq,IRQ,1917,0
Iraq,IRQ,1918,0
Iraq,IRQ,1919,0
Iraq,IRQ,1920,0
Iraq,IRQ,1921,0
Iraq,IRQ,1922,0
Iraq,IRQ,1923,0
Iraq,IRQ,1924,0
Iraq,IRQ,1925,0
Iraq,IRQ,1926,0
Iraq,IRQ,1927,0.52335
Iraq,IRQ,1928,1.09322
Iraq,IRQ,1929,1.40723
Iraq,IRQ,1930,1.40723
Iraq,IRQ,1931,1.3956
Iraq,IRQ,1932,1.41886
Iraq,IRQ,1933,1.33745
Iraq,IRQ,1934,10.86242
Iraq,IRQ,1935,41.37954
Iraq,IRQ,1936,45.28722
Iraq,IRQ,1937,47.83419
Iraq,IRQ,1938,48.12494
Iraq,IRQ,1939,46.08969
Iraq,IRQ,1940,29.15641
Iraq,IRQ,1941,18.22421
Iraq,IRQ,1942,30.17985
Iraq,IRQ,1943,41.54236
Iraq,IRQ,1944,48.42732
Iraq,IRQ,1945,53.57941
Iraq,IRQ,1946,54.4284
Iraq,IRQ,1947,54.68426
Iraq,IRQ,1948,39.84438
Iraq,IRQ,1949,47.29921
Iraq,IRQ,1950,76.57192
Iraq,IRQ,1951,99.92496
Iraq,IRQ,1952,215.39923
Iraq,IRQ,1953,327.8032
Iraq,IRQ,1954,356.16876
Iraq,IRQ,1955,386.59283
Iraq,IRQ,1956,366.05426
Iraq,IRQ,1957,255.83675
Iraq,IRQ,1958,416.5517
Iraq,IRQ,1959,487.7622
Iraq,IRQ,1960,552.0412
Iraq,IRQ,1961,569.6258
Iraq,IRQ,1962,571.82385
Iraq,IRQ,1963,659.0605
Iraq,IRQ,1964,716.722
Iraq,IRQ,1965,752.17535
Iraq,IRQ,1966,797.43195
Iraq,IRQ,1967,703.48157
Iraq,IRQ,1968,863.37915
Iraq,IRQ,1969,871.33185
Iraq,IRQ,1970,887.37213
Iraq,IRQ,1971,970.4379
Iraq,IRQ,1972,842.125
Iraq,IRQ,1973,1156.0471
Iraq,IRQ,1974,1131.332
Iraq,IRQ,1975,1299.1066
Iraq,IRQ,1976,1390.0803
Iraq,IRQ,1977,1348.9895
Iraq,IRQ,1978,1472.1066
Iraq,IRQ,1979,1996.2805
Iraq,IRQ,1980,1524.3804
Iraq,IRQ,1981,517.584
Iraq,IRQ,1982,564.10254
Iraq,IRQ,1983,632.14026
Iraq,IRQ,1984,704.0628
Iraq,IRQ,1985,812.2264
Iraq,IRQ,1986,1083.7975
Iraq,IRQ,1987,1363.688
Iraq,IRQ,1988,1589.8123
Iraq,IRQ,1989,1616.1876
Iraq,IRQ,1990,1224.6495
Iraq,IRQ,1991,162.1561
Iraq,IRQ,1992,304.08456
Iraq,IRQ,1993,259.72107
Iraq,IRQ,1994,288.36444
