Animal,Animal_Type,Number of humans killed per year,Estimate_Qualifier
Mosquitoes,Insect,760000,
Humans,Mammal,600000,
Snakes,Reptile,100000,
Dogs,Mammal,40000,
Freshwater snails,Mollusc,14000,
Kissing bugs,Insect,8000,
Sandflies,Insect,5000,
Roundworms,Nematode,4000,
Scorpions,Arachnid,3000,
Tapeworms,Flatworm,2000,
Tsetse flies,Insect,1500,
Elephants,Mammal,1000,
"Bees, wasps & hornets",Insect,500,
Big cats,Mammal,300,
Crocodiles,Reptile,150,>
Jellyfish,Cnidarian,100,
Hippopotamuses,Mammal,50,>
Spiders,Arachnid,50,
Bears,Mammal,20,
Sharks,Fish,6,
Gray wolves,Mammal,5,
