State Name,1st Place 2024,2nd Place 2024,3rd Place 2024
Alabama,Candy Necklaces,Conversation Hearts,Heart-Shaped Box of Chocolates
Maine,Chocolate Hearts,Ghirardelli Gift Box,Conversation Hearts
Montana,Chocolate Hearts,Heart-Shaped Box of Chocolates,Hershey Kisses
Rhode Island,Chocolate Hearts,Heart-Shaped Box of Chocolates,Conversation Hearts
Kentucky,Chocolate Roses,M&M's,Conversation Hearts
New Mexico,Chocolate Roses,Heart-Shaped Box of Chocolates,Candy Necklaces
Wyoming,Chocolate Roses,Conversation Hearts,Heart-Shaped Box of Chocolates
Illinois,Chocolate Hearts,Conversation Hearts,M&M's
Alaska,Conversation Hearts,Heart-Shaped Box of Chocolates,Cinnamon Bears
California,Conversation Hearts,Heart-Shaped Box of Chocolates,M&M's
Hawaii,Conversation Hearts,M&M's,Candy Necklaces
Louisiana,Conversation Hearts,Heart-Shaped Box of Chocolates,M&M's
Massachusetts,Conversation Hearts,Heart-Shaped Box of Chocolates,Chocolate Hearts
New York,Conversation Hearts,Heart-Shaped Box of Chocolates,Cinnamon Bears
North Carolina,Conversation Hearts,Heart-Shaped Box of Chocolates,Cupid Corn
South Carolina,Conversation Hearts,Heart-Shaped Box of Chocolates,Ghirardelli Gift Box
Tennessee,Conversation Hearts,Heart-Shaped Box of Chocolates,Wild Berry Skittles
Virginia,Conversation Hearts,Heart-Shaped Box of Chocolates,Hershey Kisses
Washington,Conversation Hearts,Heart-Shaped Box of Chocolates,Chocolate Roses
West Virginia,Conversation Hearts,Cupid Corn,Candy Necklaces
Florida,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Missouri,Heart-Shaped Box of Chocolates,Conversation Hearts,Hershey Kisses
Idaho,Hershey Kisses,Conversation Hearts,M&M's
Wisconsin,Hershey Kisses,Conversation Hearts,Ghirardelli Gift Box
Michigan,Cupid Corn,Heart-Shaped Box of Chocolates,Conversation Hearts
Nebraska,Heart-Shaped Box of Chocolates,Cupid Corn,Chocolate Hearts
Colorado,Heart-Shaped Box of Chocolates,Conversation Hearts,Hershey Kisses
Connecticut,Heart-Shaped Box of Chocolates,M&M's,Conversation Hearts
Georgia,Heart-Shaped Box of Chocolates,Chocolate Roses,Conversation Hearts
Indiana,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Mississippi,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
Nevada,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
New Hampshire,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Hearts
Ohio,Heart-Shaped Box of Chocolates,Cupid Corn,Conversation Hearts
Oklahoma,Heart-Shaped Box of Chocolates,Conversation Hearts,Chocolate Roses
"Washington, D.C.",Heart-Shaped Box of Chocolates,Conversation Hearts,Cinnamon Bears
Minnesota,M&M's,Heart-Shaped Box of Chocolates,Conversation Hearts
South Dakota,Conversation Hearts,Hershey Kisses,Chocolate Hearts
Arkansas,Hershey Kisses,Conversation Hearts,Ghirardelli Gift Box
Delaware,Hershey Kisses,Conversation Hearts,Chocolate Hearts
Oregon,Hershey Kisses,M&M's,Heart-Shaped Box of Chocolates
Pennsylvania,Hershey Kisses,M&M's,Conversation Hearts
Texas,Hershey Kisses,Heart-Shaped Box of Chocolates,Conversation Hearts
Utah,Hershey Kisses,M&M's,Conversation Hearts
Kansas,Heart-Shaped Box of Chocolates,M&M's,Ghirardelli Gift Box
New Jersey,Heart-Shaped Box of Chocolates,M&M's,Conversation Hearts
Arizona,M&M's,Heart-Shaped Box of Chocolates,Conversation Hearts
Iowa,M&M's,Conversation Hearts,Ghirardelli Gift Box
Maryland,M&M's,Conversation Hearts,Heart-Shaped Box of Chocolates
North Dakota,M&M's,Conversation Hearts,Heart-Shaped Box of Chocolates
Vermont,M&M's,Conversation Hearts,Candy Necklaces
