Unit,Vibrations / cycles / waves / rate per second (formatted),Vibrations / cycles / waves / rate per second (not formatted),Description,Statistic,Source,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,.........................1,1,Resting human heart rate,AVERAGE,https://en.wikipedia.org/wiki/Orders_of_magnitude_(frequency),,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................11,11,"Alpha ""relaxed"" brain waves",MEDIAN,https://en.wikipedia.org/wiki/Alpha_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................18,18,Cat's purr,,https://en.wikipedia.org/wiki/Beta_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................20,20,Sound audible to human ear,START,https://en.wikipedia.org/wiki/Hearing,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................21,21,"Beta ""awake"" brain waves",MEDIAN,https://en.wikipedia.org/wiki/Beta_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................24,24,Frame rate of movies,,https://en.wikipedia.org/wiki/Beta_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................40,40,"""Frame rate"" of conscious perception in human brain",,https://en.wikipedia.org/wiki/Gamma_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................50,50,AC power (most of the world),,https://en.wikipedia.org/wiki/Gamma_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................55,55,"Gamma ""active"" brain waves",MEDIAN,https://en.wikipedia.org/wiki/Gamma_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,........................60,60, AC power (USA),,https://en.wikipedia.org/wiki/Gamma_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,.......................110,110,Subwoofer bass speaker,,"https://en.wikipedia.org/wiki/Subwoofer#:~:text=The%20typical%20frequency%20range%20for,systems%20operate%20below%2080%20Hz.",,,,,,,,,,,,,,,,,,,,,,
MILLIONS,.......................170,170,Typical human speech,,https://en.wikipedia.org/wiki/Voice_frequency,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,.......................440,440,Middle 'A' music note,,https://en.wikipedia.org/wiki/A440,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"....................14,000","14,000",Typical upper limit of human hearing,,https://en.wikipedia.org/wiki/Orders_of_magnitude_(frequency),,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"....................17,400","17,400",Upper hearing limit limit of a person under 24,,https://en.wikipedia.org/wiki/Orders_of_magnitude_(frequency),,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"....................44,100","44,100",Sampling rate of most digital music,,https://en.wikipedia.org/wiki/Orders_of_magnitude_(frequency),,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"....................45,000","45,000",Upper hearing limit of a dog,,https://www.lsu.edu/deafness/HearingRange.html,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"...................148,500","148,500",Long wave AM radio,MEDIAN,https://en.wikipedia.org/wiki/Longwave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,".................2,000,000","2,000,000",Ultrasound scanner,START,https://en.wikipedia.org/wiki/Ultrasound,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"................13,560,000","13,560,000",Near Field Communication / RFID,START,https://en.wikipedia.org/wiki/Medium_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"................49,845,000","49,845,000",Baby Monitors,,https://en.wikipedia.org/wiki/Medium_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"................54,000,000","54,000,000",TV Broadcasting starts,START,https://en.wikipedia.org/wiki/Medium_wave,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"................88,000,000","88,000,000",FM radio,START,https://en.wikipedia.org/wiki/FM_broadcast_band,,,,,,,,,,,,,,,,,,,,,,
MILLIONS,"...............960,000,000","960,000,000",Air Traffic Control Radar,START,https://home.howstuffworks.com/question333.htm,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............1,000,000,000","1,000,000,000",Microwaves begin,START,https://en.wikipedia.org/wiki/Medium_wave,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............1,227,600,000","1,227,600,000",GPS,START,https://home.howstuffworks.com/question333.htm,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,"..............1,420,405,752","1,420,405,752",Wow Signal! (google it),START,https://en.wikipedia.org/wiki/Wow!_signal,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............2,100,000,000","2,100,000,000",3G ,START,https://www.4g.co.uk/4g-frequencies-uk-need-know/,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............2,400,000,000","2,400,000,000",Wifi,START,https://en.wikipedia.org/wiki/FM_broadcast_band,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............2,450,000,000","2,450,000,000",Microwave oven,START,https://en.wikipedia.org/wiki/Microwave,,,,,,,,,,,,,,,,,,,,,,
BILLIONS,".............2,483,500,000","2,483,500,000",Bluetooth,PEAK,https://www.bluetooth.com/learn-about-bluetooth/key-attributes/range/,,,,,,,,,,,,,,,,,,,,,,
